productid,ProductCategory,ProductName
7347,Kaross/interiör,Dörr
7348,Kaross/interiör,Dörr rep.plåt
7349,Kaross/interiör,Front komplett
7350,Kaross/interiör,Frontspoiler
7351,Kaross/interiör,Fönsterhiss
7352,Kaross/interiör,Gasdämpare
7353,Kaross/interiör,Golvplåt
7354,Kaross/interiör,Hjulhus
7355,Kaross/interiör,Innerskärm
7356,Kaross/interiör,Karosseri monteringssats
7357,Kaross/interiör,Kylargrill
7358,Kaross/interiör,Låssystem
7359,Kaross/interiör,Motorhuv
7360,Kaross/interiör,Motorhuv gångjärn
7361,Kaross/interiör,Nummerplåtshållare
7362,Kaross/interiör,Reservhjulsbalja
7363,Kaross/interiör,Skiljevägg
7364,Kaross/interiör,Skärm
7365,Kaross/interiör,Stolpe
7366,Kaross/interiör,Stötfångardelar
7367,Kaross/interiör,Tankpåfyllningsrör
7368,Kaross/interiör,Torpedvägg
7369,Kaross/interiör,Tröskel
7370,Kaross/interiör,Tröskel övrigt
7371,Kaross/interiör,Tvärbalk
7372,Kaross/interiör,Regnsensor
7373,Kaross/interiör,Spolardelar
7374,Kaross/interiör,Torkarbladsadapter
7375,Kaross/interiör,Torkarbladsgummi
7376,Kaross/interiör,Torkarmotor
7377,Kaross/interiör,Rutor
7378,Kaross/interiör,Spegel
7379,Kaross/interiör,Spegelglas
7380,Kaross/interiör,Spegelhus
7187,Kaross/interiör,Bilbälte (bak mitt)
7188,Kaross/interiör,Bilbälte (bak yttre)
7189,Kaross/interiör,Sidoruta (bak)
7190,Kaross/interiör,Bakruta
7191,Kaross/interiör,Bilbälteslås (fram)
7192,Kaross/interiör,Bilbälteslås (bak mitt)
7193,Kaross/interiör,Bilbälteslås (bak yttre)
7194,Kaross/interiör,Dörrspegel
7195,Kaross/interiör,Dörruta (bak)
7196,Kaross/interiör,Dörruta (fram)
7197,Kaross/interiör,Bilbälte (fram)
7198,Kaross/interiör,Fönsterhissmekanism (bak)
7199,Kaross/interiör,Fönsterhissmekanism (fram)
7200,Kaross/interiör,Fönsterhissmotor (bak)
7201,Kaross/interiör,Instrumentpanel
7202,Kaross/interiör,Krockkudde (förare)
7203,Kaross/interiör,Krockkudde (passagerare)
7204,Kaross/interiör,Låscylinder (handskfack)
7205,Kaross/interiör,Låscylinder (baklucka)
7206,Kaross/interiör,Låscylinder (framdörr)
7207,Kaross/interiör,Solluckemotor
7208,Kaross/interiör,Vajer motorhuv
7209,Kaross/interiör,Spegelglas med fäste
7210,Kaross/interiör,Spoiler
7211,Kaross/interiör,Spolarbehållare
7212,Kaross/interiör,Spolarmotor (fram)
7213,Kaross/interiör,Spolarmunstycke
7214,Kaross/interiör,Stötfångare (bak)
7215,Kaross/interiör,Stötfångare (fram)
7216,Kaross/interiör,Stötfångargrill
7217,Kaross/interiör,Torkararm
7218,Kaross/interiör,Torkararm (bak)
7219,Kaross/interiör,Torkararm (fram)
7220,Kaross/interiör,Torkarblad
7221,Kaross/interiör,Torkarblad (bak)
7222,Kaross/interiör,Torkarblad (fram)
7223,Kaross/interiör,Torkarlänkage
7224,Kaross/interiör,Torpedplåt
7225,Kaross/interiör,Krockgardin
7226,Kaross/interiör,Vindruta
7227,Kaross/interiör,Vindrutetorkarmotor
7075,Klimatanläggning,AC-ledning
7076,Klimatanläggning,Expansionsventil fram
7077,Klimatanläggning,Förångare fram
7078,Klimatanläggning,Kompressor
7079,Klimatanläggning,Kondensor
7080,Klimatanläggning,Kupéfilter
7081,Klimatanläggning,Turbokompressor
7082,Klimatanläggning,Värmeelement
7083,Klimatanläggning,Värmefläktmotor
7084,Klimatanläggning,Värmepaket
7085,Klimatanläggning,Vätskefiltertorkare
7381,Klimatanläggning,Evaporator
7382,Klimatanläggning,Expansionsventil
7383,Klimatanläggning,Luftkvalitetssensor
7384,Klimatanläggning,AC-slang
7385,Klimatanläggning,Torkfilter
7386,Klimatanläggning,Tryckvakt
7387,Klimatanläggning,Värmeväxlare Batteristyrning
7388,Kylsystem,Reglerventil
7389,Kylsystem,Expansionskärl
7390,Kylsystem,Kylarfläkt
7391,Kylsystem,Kylvattenfläns
7393,Kylsystem,Slangar och rör
7394,Kylsystem,Fläktmotstånd
7395,Kylsystem,Kupefläkt
7064,Kylsystem,Avgasåterledningskylare
7065,Kylsystem,Expansionstank
7066,Kylsystem,Kylare
7067,Kylsystem,Kylfläkt
7068,Kylsystem,Kylvätska
7069,Kylsystem,Kylvätsketemperatursensor
7070,Kylsystem,Laddluftkylare
7071,Kylsystem,Oljekylare
7072,Kylsystem,Skyltbelysning
7073,Kylsystem,Termostat
7074,Kylsystem,Vattenpump
7038,Motor,Balansaxel
7039,Motor,Cylinderlock
7040,Motor,Cylinderlockspackning
7041,Motor,Drivremsspännare
7042,Motor,Fönsterhissmotor fram
7043,Motor,Glödstift
7044,Motor,Hjälpaggregatdrivrem
7045,Motor,Inloppsgrenrör
7046,Motor,Kamaxelns tätning
7047,Motor,Kamaxlar
7048,Motor,Kamrem
7049,Motor,Motor
7050,Motor,Motor enbart
7051,Motor,Motorfäste
7052,Motor,Oljepump
7053,Motor,Oljetryck
7054,Motor,Oljetråg
7055,Motor,Packning för inloppsgrenrör
7056,Motor,Spjällhus
7057,Motor,Startmotor med dragmagnet
7058,Motor,Vakuumpump
7059,Motor,Vakuumslang till inloppsrör
7060,Motor,Vevaxelns tätning
7061,Motor,Vevaxelns remskiva
7062,Motor,Vevaxelns remskiva svängningsdämpare
7063,Motor,Vevhusventilation
7396,Motor,Motorvärmare
7397,Motor,Motorvärmarelement
7398,Motor,Frostplugg
7399,Motor,Motorpackningar
7400,Motor,O-ring
7401,Motor,Oljeplugg
7402,Motor,Oljepluggspackning
7403,Motor,Packbox
7404,Motor,Packning
7405,Motor,Växellådspackning
7406,Motor,Insug
7407,Motor,Oljepåfyllningslock
7408,Motor,Oljesticka
7409,Motor,Slangar motorrum
7410,Motor,Topplock
7411,Motor,Ventilkåpa
7412,Motor,Vevaxeldelar
7413,Motor,Vevhus
7414,Motor,Kamaxel
7415,Motor,Kamdrivning
7416,Motor,Remdrivning
7417,Motor,Vevaxelremskiva
7418,Motor,Vibrationsdämpare
7419,Service,Bromsvätska
7420,Service,Differentialolja
7421,Service,Hydraulolja
7422,Service,Kylarvätska
7423,Service,Multifunktionsolja
7424,Service,Spolarvätska
7425,Service,Styrservoolja
7426,Service,Transmissionsolja
7427,Service,AWD Filter
7428,Service,Hydraulfilter
7429,Service,Oljeplugg/tätning
7430,Service,Styrservofilter
7431,Service,Vevhusfilter
7432,Service,Växellådsfilter
7020,Service,Däck
7021,Service,Luftfilter
7022,Service,Luftfilterhus
7023,Service,Motorolja
7024,Service,Oljefilter
7025,Service,Styrled
7026,Service,Styrstag
7027,Service,Växellådsolja
7228,Service,Oljepluggsats
7028,Styrning,Gaspedal
7029,Styrning,Pedalbussning
7030,Styrning,Pedalställ
7031,Styrning,Ratt
7032,Styrning,Rattlås
7033,Styrning,Spindelled nedre
7036,Styrning,Styrväxel
7037,Styrning,Styrväxeldamask
